rank,team,disparity_ratio,line1_adj_xg_per60,line2_adj_xg_per60
1,china,1.4487801049091025,4.180322350973115,2.8854084459113905
2,brazil,1.2315818652740151,3.6675578135942986,2.97792450263004
3,serbia,1.2227079604145668,3.730706151650536,3.051183334396234
4,iceland,1.212816174964758,3.0844193657899144,2.5431878543997333
5,oman,1.1779019877769712,3.3914052596921884,2.8791913884895584
6,morocco,1.1741662660357637,3.0931779738096923,2.634361132050678
7,guatemala,1.1303781237865147,3.2703375160360024,2.893135887203037
8,usa,1.1297796143664147,3.201450984489132,2.833695124057022
9,thailand,1.1139267216917816,3.625050431003461,3.2542988334976806
10,pakistan,1.1138653262788487,3.5107864983850257,3.1518949513526056
11,uk,1.113081006000398,3.579371936053315,3.21573355106918
12,south_korea,1.0949560336868773,3.188332557327009,2.911836146143171
13,india,1.092884128170529,2.9924982967238463,2.738166123551672
14,panama,1.090433118315005,3.303644465359222,3.0296626265939066
15,mexico,1.068736421494296,3.230286370509585,3.022528572567062
16,france,1.0514211578629133,3.303717417519776,3.1421446989280786
17,singapore,1.032789450173277,3.4711120504427795,3.3609096702724948
18,saudi_arabia,1.0169745345107695,2.609118282191913,2.565568943618699
19,uae,1.005805344118847,2.732091446734985,2.716322261270624
20,rwanda,0.9787096517708628,2.614015244974451,2.6708791930729308
21,peru,0.9613848051217355,2.8318814478184953,2.945627424868555
22,netherlands,0.943991065653382,2.9016237750102767,3.073783090311265
23,germany,0.92504966677644,2.868509754773529,3.1009251262902966
24,new_zealand,0.9230980001443735,2.719937130926945,2.946531278912471
25,canada,0.9203129841691838,2.6363443605881876,2.8646171530092643
26,indonesia,0.9163950197047064,2.5180913190966185,2.7478230074930274
27,philippines,0.8858959842404437,2.4834202104099266,2.8032864518955694
28,mongolia,0.878201423511464,2.1472721032340933,2.445079278792655
29,switzerland,0.8666246800893144,2.2942863353127145,2.6473817190115856
30,vietnam,0.8664594102962944,2.4368519384072176,2.8124248054203855
31,ethiopia,0.8121836273305957,2.3455324820440047,2.8879337173455064
32,kazakhstan,0.7854998600412139,2.2824103832034504,2.9056789177323292
